Epoch: 80, Loss: 0.1394, Train acc: 100.00%, Valid acc: 62.84%, Test acc: 57.34%, Train rocauc: 100.00%, Valid rocauc: 65.60%, Test rocauc: 59.30%, Train recall: 100.00%, Valid recall: 55.75%, Test recall: 57.43%
Epoch: 81, Loss: 0.1240, Train acc: 100.00%, Valid acc: 61.01%, Test acc: 58.26%, Train rocauc: 100.00%, Valid rocauc: 65.55%, Test rocauc: 59.13%, Train recall: 100.00%, Valid recall: 55.75%, Test recall: 60.40%
Epoch: 82, Loss: 0.1297, Train acc: 100.00%, Valid acc: 61.01%, Test acc: 58.26%, Train rocauc: 100.00%, Valid rocauc: 65.52%, Test rocauc: 59.11%, Train recall: 100.00%, Valid recall: 55.75%, Test recall: 60.40%
Epoch: 83, Loss: 0.1212, Train acc: 100.00%, Valid acc: 61.93%, Test acc: 58.26%, Train rocauc: 100.00%, Valid rocauc: 65.44%, Test rocauc: 59.08%, Train recall: 100.00%, Valid recall: 55.75%, Test recall: 59.41%
Epoch: 84, Loss: 0.1069, Train acc: 100.00%, Valid acc: 62.39%, Test acc: 57.34%, Train rocauc: 100.00%, Valid rocauc: 65.03%, Test rocauc: 59.18%, Train recall: 100.00%, Valid recall: 55.75%, Test recall: 57.43%
Epoch: 85, Loss: 0.1118, Train acc: 100.00%, Valid acc: 62.39%, Test acc: 57.34%, Train rocauc: 100.00%, Valid rocauc: 65.01%, Test rocauc: 59.20%, Train recall: 100.00%, Valid recall: 55.75%, Test recall: 57.43%
Epoch: 86, Loss: 0.1100, Train acc: 100.00%, Valid acc: 62.39%, Test acc: 57.80%, Train rocauc: 100.00%, Valid rocauc: 65.28%, Test rocauc: 58.92%, Train recall: 100.00%, Valid recall: 54.87%, Test recall: 57.43%
Epoch: 87, Loss: 0.0978, Train acc: 100.00%, Valid acc: 61.93%, Test acc: 57.34%, Train rocauc: 100.00%, Valid rocauc: 65.49%, Test rocauc: 58.82%, Train recall: 100.00%, Valid recall: 54.87%, Test recall: 57.43%
Epoch: 88, Loss: 0.0969, Train acc: 100.00%, Valid acc: 61.47%, Test acc: 56.88%, Train rocauc: 100.00%, Valid rocauc: 65.59%, Test rocauc: 58.74%, Train recall: 100.00%, Valid recall: 54.87%, Test recall: 57.43%
Epoch: 89, Loss: 0.0986, Train acc: 100.00%, Valid acc: 61.47%, Test acc: 56.88%, Train rocauc: 100.00%, Valid rocauc: 65.50%, Test rocauc: 58.76%, Train recall: 100.00%, Valid recall: 54.87%, Test recall: 58.42%
Epoch: 90, Loss: 0.0913, Train acc: 100.00%, Valid acc: 61.47%, Test acc: 57.34%, Train rocauc: 100.00%, Valid rocauc: 65.38%, Test rocauc: 58.80%, Train recall: 100.00%, Valid recall: 54.87%, Test recall: 58.42%
Epoch: 91, Loss: 0.0870, Train acc: 100.00%, Valid acc: 61.93%, Test acc: 56.42%, Train rocauc: 100.00%, Valid rocauc: 65.28%, Test rocauc: 58.77%, Train recall: 100.00%, Valid recall: 54.87%, Test recall: 56.44%
Epoch: 92, Loss: 0.0885, Train acc: 100.00%, Valid acc: 61.93%, Test acc: 56.42%, Train rocauc: 100.00%, Valid rocauc: 65.19%, Test rocauc: 58.73%, Train recall: 100.00%, Valid recall: 54.87%, Test recall: 56.44%
Epoch: 93, Loss: 0.0863, Train acc: 100.00%, Valid acc: 61.93%, Test acc: 56.42%, Train rocauc: 100.00%, Valid rocauc: 65.25%, Test rocauc: 58.54%, Train recall: 100.00%, Valid recall: 54.87%, Test recall: 56.44%
Epoch: 94, Loss: 0.0808, Train acc: 100.00%, Valid acc: 61.47%, Test acc: 56.42%, Train rocauc: 100.00%, Valid rocauc: 65.39%, Test rocauc: 58.47%, Train recall: 100.00%, Valid recall: 53.98%, Test recall: 56.44%
Epoch: 95, Loss: 0.0789, Train acc: 100.00%, Valid acc: 61.93%, Test acc: 56.42%, Train rocauc: 100.00%, Valid rocauc: 65.38%, Test rocauc: 58.37%, Train recall: 100.00%, Valid recall: 54.87%, Test recall: 56.44%
Epoch: 96, Loss: 0.0793, Train acc: 100.00%, Valid acc: 61.47%, Test acc: 56.42%, Train rocauc: 100.00%, Valid rocauc: 65.33%, Test rocauc: 58.37%, Train recall: 100.00%, Valid recall: 53.98%, Test recall: 56.44%
Epoch: 97, Loss: 0.0767, Train acc: 100.00%, Valid acc: 61.47%, Test acc: 56.42%, Train rocauc: 100.00%, Valid rocauc: 65.36%, Test rocauc: 58.42%, Train recall: 100.00%, Valid recall: 53.98%, Test recall: 56.44%
Epoch: 98, Loss: 0.0730, Train acc: 100.00%, Valid acc: 61.47%, Test acc: 56.88%, Train rocauc: 100.00%, Valid rocauc: 65.27%, Test rocauc: 58.41%, Train recall: 100.00%, Valid recall: 53.98%, Test recall: 56.44%
Epoch: 99, Loss: 0.0723, Train acc: 100.00%, Valid acc: 61.47%, Test acc: 56.88%, Train rocauc: 100.00%, Valid rocauc: 65.28%, Test rocauc: 58.40%, Train recall: 100.00%, Valid recall: 53.98%, Test recall: 56.44%
